53,HS,Divorcee,Cleaners,43,US,<=30K
33,Plus1,Married,Cleaners,43,US,<=35K
58,BachelorDegree,Married,Professor,42,Cuba,<=50K
47,MasterDegree,Married,Managerial,43,US,<=50K
39,9th,MarriedNoSpouse,ServicesOther,18,Jamaica,<=35K
31,Masters,Unmarried,Professor,43,US,>65K
32,BachelorDegree,Married,Managerial,42,US,>50K
47,OtherCollege,Married,Managerial,83,US,>45K
33,BachelorDegree,Unmarried,Clerical,32,US,<=25K
32,AssocAcad,Unmarried,SalesExec,50,US,<=30K
35,Associate,Married,RepairCraft,42,Cuba,>50K
44,7to8,Married,Transport,43,Mexico,<=55K
52,HS,Unmarried,MachOpsInspecter,40,US,<=60K
38,11,Married,SalesExec,50,US,<=50K
33,Doctrate,Married,Professor,60,US,>40K
52,HS,Separate,ServicesOther,20,US,<=55K
53,HS,Divorcee,Cleaners,43,US,<=30K
33,Plus1,Married,Cleaners,43,US,<=35K
58,BachelorDegree,Married,Professor,42,Cuba,<=50K
47,MasterDegree,Married,Managerial,43,US,<=50K
39,9th,MarriedNoSpouse,ServicesOther,18,Jamaica,<=35K
31,Masters,Unmarried,Professor,43,US,>65K
32,BachelorDegree,Married,Managerial,42,US,>50K
47,OtherCollege,Married,Managerial,83,US,>45K
33,BachelorDegree,Unmarried,Clerical,32,US,<=25K
32,AssocAcad,Unmarried,SalesExec,50,US,<=30K
35,Associate,Married,RepairCraft,42,Cuba,>50K
44,7to8,Married,Transport,43,Mexico,<=55K
52,HS,Unmarried,MachOpsInspecter,40,US,<=60K
53,HS,Divorcee,Cleaners,43,US,<=30K
33,Plus1,Married,Cleaners,43,US,<=35K
58,BachelorDegree,Married,Professor,42,Cuba,<=50K
47,MasterDegree,Married,Managerial,43,US,<=50K
39,9th,MarriedNoSpouse,ServicesOther,18,Jamaica,<=35K
31,Masters,Unmarried,Professor,43,US,>65K
32,BachelorDegree,Married,Managerial,42,US,>50K
47,OtherCollege,Married,Managerial,83,US,>45K
33,BachelorDegree,Unmarried,Clerical,32,US,<=25K
32,AssocAcad,Unmarried,SalesExec,50,US,<=30K
35,Associate,Married,RepairCraft,42,Cuba,>50K
44,7to8,Married,Transport,43,Mexico,<=55K
52,HS,Unmarried,MachOpsInspecter,40,US,<=60K
38,11,Married,SalesExec,50,US,<=50K
33,Doctrate,Married,Professor,60,US,>40K
52,HS,Separate,ServicesOther,20,US,<=55K
53,HS,Divorcee,Cleaners,43,US,<=30K
33,Plus1,Married,Cleaners,43,US,<=35K
58,BachelorDegree,Married,Professor,42,Cuba,<=50K
47,MasterDegree,Married,Managerial,43,US,<=50K
39,9th,MarriedNoSpouse,ServicesOther,18,Jamaica,<=35K
31,Masters,Unmarried,Professor,43,US,>65K
32,BachelorDegree,Married,Managerial,42,US,>50K
47,OtherCollege,Married,Managerial,83,US,>45K
33,BachelorDegree,Unmarried,Clerical,32,US,<=25K
32,AssocAcad,Unmarried,SalesExec,50,US,<=30K
35,Associate,Married,RepairCraft,42,Cuba,>50K
44,7to8,Married,Transport,43,Mexico,<=55K
52,HS,Unmarried,MachOpsInspecter,40,US,<=60K
53,HS,Divorcee,Cleaners,43,US,<=30K
33,Plus1,Married,Cleaners,43,US,<=35K
58,BachelorDegree,Married,Professor,42,Cuba,<=50K
47,MasterDegree,Married,Managerial,43,US,<=50K
39,9th,MarriedNoSpouse,ServicesOther,18,Jamaica,<=35K
31,Masters,Unmarried,Professor,43,US,>65K
32,BachelorDegree,Married,Managerial,42,US,>50K
47,OtherCollege,Married,Managerial,83,US,>45K
33,BachelorDegree,Unmarried,Clerical,32,US,<=25K
32,AssocAcad,Unmarried,SalesExec,50,US,<=30K
35,Associate,Married,RepairCraft,42,Cuba,>50K
44,7to8,Married,Transport,43,Mexico,<=55K
52,HS,Unmarried,MachOpsInspecter,40,US,<=60K
38,11,Married,SalesExec,50,US,<=50K
33,Doctrate,Married,Professor,60,US,>40K
52,HS,Separate,ServicesOther,20,US,<=55K
53,HS,Divorcee,Cleaners,43,US,<=30K
33,Plus1,Married,Cleaners,43,US,<=35K
58,BachelorDegree,Married,Professor,42,Cuba,<=50K
47,MasterDegree,Married,Managerial,43,US,<=50K
39,9th,MarriedNoSpouse,ServicesOther,18,Jamaica,<=35K
31,Masters,Unmarried,Professor,43,US,>65K
32,BachelorDegree,Married,Managerial,42,US,>50K
47,OtherCollege,Married,Managerial,83,US,>45K
33,BachelorDegree,Unmarried,Clerical,32,US,<=25K
32,AssocAcad,Unmarried,SalesExec,50,US,<=30K
35,Associate,Married,RepairCraft,42,Cuba,>50K
44,7to8,Married,Transport,43,Mexico,<=55K
52,HS,Unmarried,MachOpsInspecter,40,US,<=60K
53,HS,Divorcee,Cleaners,43,US,<=30K
33,Plus1,Married,Cleaners,43,US,<=35K
58,BachelorDegree,Married,Professor,42,Cuba,<=50K
47,MasterDegree,Married,Managerial,43,US,<=50K
39,9th,MarriedNoSpouse,ServicesOther,18,Jamaica,<=35K
31,Masters,Unmarried,Professor,43,US,>65K
32,BachelorDegree,Married,Managerial,42,US,>50K
47,OtherCollege,Married,Managerial,83,US,>45K
33,BachelorDegree,Unmarried,Clerical,32,US,<=25K
32,AssocAcad,Unmarried,SalesExec,50,US,<=30K
35,Associate,Married,RepairCraft,42,Cuba,>50K
44,7to8,Married,Transport,43,Mexico,<=55K
52,HS,Unmarried,MachOpsInspecter,40,US,<=60K
38,11,Married,SalesExec,50,US,<=50K
33,Doctrate,Married,Professor,60,US,>40K
52,HS,Separate,ServicesOther,20,US,<=55K
53,HS,Divorcee,Cleaners,43,US,<=30K
33,Plus1,Married,Cleaners,43,US,<=35K
58,BachelorDegree,Married,Professor,42,Cuba,<=50K
47,MasterDegree,Married,Managerial,43,US,<=50K
39,9th,MarriedNoSpouse,ServicesOther,18,Jamaica,<=35K
31,Masters,Unmarried,Professor,43,US,>65K
32,BachelorDegree,Married,Managerial,42,US,>50K
47,OtherCollege,Married,Managerial,83,US,>45K
33,BachelorDegree,Unmarried,Clerical,32,US,<=25K
32,AssocAcad,Unmarried,SalesExec,50,US,<=30K
35,Associate,Married,RepairCraft,42,Cuba,>50K
44,7to8,Married,Transport,43,Mexico,<=55K
52,HS,Unmarried,MachOpsInspecter,40,US,<=60K
53,HS,Divorcee,Cleaners,43,US,<=30K
33,Plus1,Married,Cleaners,43,US,<=35K
58,BachelorDegree,Married,Professor,42,Cuba,<=50K
47,MasterDegree,Married,Managerial,43,US,<=50K
39,9th,MarriedNoSpouse,ServicesOther,18,Jamaica,<=35K
31,Masters,Unmarried,Professor,43,US,>65K
32,BachelorDegree,Married,Managerial,42,US,>50K
47,OtherCollege,Married,Managerial,83,US,>45K
33,BachelorDegree,Unmarried,Clerical,32,US,<=25K
32,AssocAcad,Unmarried,SalesExec,50,US,<=30K
35,Associate,Married,RepairCraft,42,Cuba,>50K
44,7to8,Married,Transport,43,Mexico,<=55K
52,HS,Unmarried,MachOpsInspecter,40,US,<=60K
38,11,Married,SalesExec,50,US,<=50K
33,Doctrate,Married,Professor,60,US,>40K
52,HS,Separate,ServicesOther,20,US,<=55K
53,HS,Divorcee,Cleaners,43,US,<=30K
33,Plus1,Married,Cleaners,43,US,<=35K
58,BachelorDegree,Married,Professor,42,Cuba,<=50K
47,MasterDegree,Married,Managerial,43,US,<=50K
39,9th,MarriedNoSpouse,ServicesOther,18,Jamaica,<=35K
31,Masters,Unmarried,Professor,43,US,>65K
32,BachelorDegree,Married,Managerial,42,US,>50K
47,OtherCollege,Married,Managerial,83,US,>45K
33,BachelorDegree,Unmarried,Clerical,32,US,<=25K
32,AssocAcad,Unmarried,SalesExec,50,US,<=30K
35,Associate,Married,RepairCraft,42,Cuba,>50K
44,7to8,Married,Transport,43,Mexico,<=55K
52,HS,Unmarried,MachOpsInspecter,40,US,<=60K
