Chad,2710
Guam,949
Oman,1904
Aruba,1355
Japan,949
Libya,1355
Macao,2116
Malta,1355
Palau,1355
Samoa,2710
Sudan,949
Yemen,1355
Belize,2310
Brazil,2522
Canada,1355
Latvia,1355
Mexico,1355
Rwanda,1355
Serbia,2710
Turkey,2522
Bahrain,1355
Belgium,1362
Bolivia,1355
Georgia,1355
Liberia,1355
Mayotte,1355
Myanmar,2315
Namibia,2710
Vanuatu,1355
Anguilla,2304
Botswana,1355
Djibouti,1355
Ethiopia,2716
Guernsey,2710
Maldives,960
Portugal,2315
Tanzania,949
Thailand,1355
Gibraltar,1355
Greenland,1355
Lithuania,1355
Macedonia,2522
Mauritius,2710
Singapore,1355
Sri Lanka,2710
Swaziland,949
Azerbaijan,1355
Costa Rica,1355
Guadeloupe,1355
Kyrgyzstan,2710
Luxembourg,1355
Martinique,1355
Micronesia,2522
Tajikistan,949
New Zealand,1355
Saint Lucia,1362
Switzerland,1355
Burkina Faso,1355
Korea_ North,2710
Korea_ South,949
South Africa,1355
Faroe Islands,1355
French Guiana,1355
ï¿½land Islands,2315
Pitcairn Islands,1167
Congo Brazzaville,2127
Cocos Keeling Islands,4065
Sao Tome and Principe,1355
Bosnia and Herzegovina,1167
Central African Republic,1355
Saint Pierre and Miquelon,1355
French Southern Territories,1909
United Kingdom Great Britain,960
United States Minor Outlying Islands,1355
Congo_ the Democratic Republic of the,1355
